timestamp,topic,loco_id,event,phase,station,offset,commanded_pwm,actual_pwm,note,seq,source_line
2026-08-08T23:19:30-0700,ngr/loco/9950011/state/station,9950011,ZERO_RAMP,3,Grillers,1,0,72,TRIGGER_M2_REACHED,,32517
2026-08-08T23:19:33-0700,ngr/loco/9950011/state/station,9950011,DWELL_BEGIN,4,Grillers,1,0,0,FIXED_DWELL,,32531
2026-08-08T23:19:48-0700,ngr/loco/9950011/state/station,9950011,DWELL_COMPLETE,5,Grillers,1,100,0,DEPART_TO_CRUISE,,32578
2026-08-08T23:19:54-0700,ngr/loco/9950011/state/station,9950011,DEPARTURE_COMPLETE,5,Grillers,4,100,100,CLEARED_ZONE,,32606
2026-08-08T23:19:54-0700,ngr/loco/9950011/state/station,9950011,RESET,0,NONE,999,100,100,DEPARTED,,32607
2026-08-08T23:20:26-0700,ngr/loco/9950011/state/station,9950011,ARMED,1,Arches,-12,100,100,RANGE_ARM_NORMAL,,32790
2026-08-08T23:20:28-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Arches,-10,92,100,DERIVED_CRUISE_TO_ZONE,,32803
2026-08-08T23:20:29-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Arches,-9,84,94,DERIVED_CRUISE_TO_ZONE,,32815
2026-08-08T23:20:30-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Arches,-8,76,86,DERIVED_CRUISE_TO_ZONE,,32822
2026-08-08T23:20:32-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Arches,-7,68,77,DERIVED_CRUISE_TO_ZONE,,32830
2026-08-08T23:20:33-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Arches,-6,60,69,DERIVED_CRUISE_TO_ZONE,,32840
2026-08-08T23:20:35-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Arches,-5,60,61,HOLD_60,,32853
2026-08-08T23:20:37-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Arches,-4,60,60,HOLD_60,,32860
2026-08-08T23:20:39-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Arches,-3,60,60,HOLD_60,,32871
2026-08-08T23:20:40-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Arches,-2,60,60,HOLD_60,,32880
2026-08-08T23:20:42-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Arches,-1,60,60,HOLD_60,,32889
2026-08-08T23:20:44-0700,ngr/loco/9950011/state/station,9950011,FINAL_APPROACH,2,Arches,0,60,60,LOCATION_TRIGGERED_TARGETS,,32901
2026-08-08T23:20:44-0700,ngr/loco/9950011/state/station,9950011,FINAL_TARGET,2,Arches,0,60,60,AT_CENTRE_ZONE_SPEED,,32902
2026-08-08T23:20:46-0700,ngr/loco/9950011/state/station,9950011,FINAL_TARGET,2,Arches,1,45,60,M_PLUS_1_FINAL_SPEED,,32911
2026-08-08T23:20:50-0700,ngr/loco/9950011/state/station,9950011,ZERO_RAMP,3,Arches,2,0,45,TRIGGER_M2_REACHED,,32929
2026-08-08T23:20:53-0700,ngr/loco/9950011/state/station,9950011,DWELL_BEGIN,4,Arches,2,0,0,FIXED_DWELL,,32940
2026-08-08T23:21:08-0700,ngr/loco/9950011/state/station,9950011,DWELL_COMPLETE,5,Arches,2,100,0,DEPART_TO_CRUISE,,32987
2026-08-08T23:21:14-0700,ngr/loco/9950011/state/station,9950011,DEPARTURE_COMPLETE,5,Arches,5,100,100,CLEARED_ZONE,,33017
2026-08-08T23:21:14-0700,ngr/loco/9950011/state/station,9950011,RESET,0,NONE,999,100,100,DEPARTED,,33018
2026-08-08T23:21:47-0700,ngr/loco/9950011/state/station,9950011,ARMED,1,Bamboo,-12,100,100,RANGE_ARM_NORMAL,,33219
2026-08-08T23:21:50-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Bamboo,-10,92,100,DERIVED_CRUISE_TO_ZONE,,33235
2026-08-08T23:21:51-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Bamboo,-9,84,94,DERIVED_CRUISE_TO_ZONE,,33244
2026-08-08T23:21:52-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Bamboo,-8,76,86,DERIVED_CRUISE_TO_ZONE,,33251
2026-08-08T23:21:54-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Bamboo,-7,68,77,DERIVED_CRUISE_TO_ZONE,,33262
