
PY          passxception:-fixed:+4}"}  "
FILE: /home/david/NGR/telemetry/runs/9950011_20260914_143544.log
TIME      MM   PWM   FIXED  SHADOW  DIFF
14:40:37   40    0   1949    1936   -13
14:40:38   40    0   1949    1936   -13
14:40:39   40    0   1949    1936   -13
14:40:40   40    0   1949    1936   -13
14:40:41   40    0   1949    1936   -13
14:40:42   40    0   1949    1936   -13
14:40:43   40    0   1949    1936   -13
14:40:44   40    0   1949    1936   -13
14:40:45   40    0   1949    1936   -13
14:40:46   40    0   1949    1936   -13
14:40:47   40    0   1949    1936   -13
14:40:48   40    0   1949    1936   -13
14:40:49   40    0   1949    1936   -13
14:40:50   40    0   1949    1936   -13
14:40:51   40    0   1949    1936   -13
14:40:52   40    0   1949    1936   -13
14:40:53   40    0   1949    1936   -13
14:40:54   40    0   1949    1936   -13
14:40:55   40    0   1949    1936   -13
14:40:56   40    0   1949    1936   -13
14:40:57   40    0   1949    1936   -13
14:40:58   40    0   1949    1936   -13
14:40:59   40    0   1949    1936   -13
14:41:00   40    0   1949    1936   -13
14:41:01   40    0   1949    1936   -13
14:41:02   40    0   1949    1936   -13
14:41:03   40    0   1949    1936   -13
14:41:04   40    0   1949    1936   -13
14:41:05   40    0   1949    1936   -13
14:41:06   40    0   1949    1936   -13
14:41:07   40    0   1949    1936   -13
14:41:08   40    0   1949    1936   -13
14:41:09   40    0   1949    1936   -13
14:41:10   40    0   1949    1936   -13
14:41:11   40    0   1949    1936   -13
14:41:12   40    0   1949    1936   -13
14:41:13   40    0   1949    1936   -13
14:41:14   40    0   1949    1936   -13
14:41:15   40    0   1949    1936   -13
14:41:16   40    0   1949    1936   -13
14:41:17   40    0   1949    1936   -13
14:41:18   40    0   1949    1936   -13
14:41:19   40    0   1949    1936   -13
14:41:20   40    0   1949    1936   -13
14:41:21   40    0   1949    1936   -13
14:41:22   40    0   1949    1936   -13
14:41:23   40    0   1949    1936   -13
14:41:24   40    0   1949    1936   -13
14:41:25   40    0   1949    1936   -13
14:41:26   40    0   1949    1936   -13
14:41:27   40    0   1949    1936   -13
14:41:28   40    0   1949    1936   -13
14:41:29   40    0   1949    1936   -13
14:41:30   40    0   1949    1936   -13
14:41:31   40    0   1949    1936   -13
14:41:32   40    0   1949    1936   -13
14:41:33   40    0   1949    1936   -13
14:41:34   40    0   1949    1936   -13
14:41:35   40    0   1949    1936   -13
14:41:36   40    0   1949    1936   -13
14:41:37   40    0   1949    1936   -13
14:41:38   40    0   1949    1936   -13
14:41:39   40    0   1949    1936   -13
14:41:40   40    0   1949    1936   -13
14:41:41   40    0   1949    1936   -13
14:41:42   40    0   1949    1936   -13
14:41:43   40    0   1949    1936   -13
14:41:44   40    0   1949    1936   -13
14:41:45   40    0   1949    1936   -13
14:41:46   40    0   1949    1936   -13
14:41:47   40    0   1949    1936   -13
14:41:48   40    0   1949    1936   -13
14:41:49   40    0   1949    1936   -13
14:41:50   40    0   1949    1936   -13
14:41:51   40    0   1949    1936   -13
14:41:52   40    0   1949    1936   -13
14:41:53   40    0   1949    1936   -13
14:41:54   40    0   1949    1936   -13
14:41:55   40    0   1949    1936   -13
14:41:56   40    0   1949    1936   -13
14:41:57   40    0   1949    1936   -13
14:41:58   40    0   1949    1936   -13
14:41:59   40    0   1949    1936   -13
14:42:00   40    0   1949    1936   -13
14:42:01   40    0   1949    1936   -13
14:42:02   40    0   1949    1936   -13
14:42:03   40    0   1949    1936   -13
14:42:04   40    0   1949    1936   -13
14:42:05   40    0   1949    1936   -13
14:42:06   40    0   1949    1936   -13
14:42:07   40    0   1949    1936   -13
14:42:08   40    0   1949    1936   -13
14:42:09   40    0   1949    1936   -13
14:42:10   40    0   1949    1936   -13
14:42:11   40    0   1949    1936   -13
14:42:12   40    0   1949    1936   -13
14:42:13   40    0   1949    1936   -13
14:42:14   40    0   1949    1936   -13
14:42:15   40    0   1949    1936   -13
